Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2024-25","Fall","MATH","2644","Mathematics Tutoring","Hicks","3.9","85.7","0","14.3","0","0","0","0","0","0","0","0","0","1","7","87211","  1"
"2023-24","Fall","MSE","3064","Mech Behavior Matls Lab","McCord","3.47","57.1","14.3","14.3","0","0","0","0","0","14.3","0","0","0","0","7","88092","  1"
"2023-24","Fall","MSE","3064","Mech Behavior Matls Lab","Aidi","3.47","57.1","14.3","14.3","0","0","0","0","0","14.3","0","0","0","0","7","88092","  1"
"2023-24","Fall","NEUR","2036","Neuroscience Laboratory","McDaniel","3.09","28.6","0","14.3","14.3","14.3","28.6","0","0","0","0","0","0","0","7","88358","  1"
"2024-25","Fall","NSEG","5944","Nuclear Eng Graduate Seminar","Haghighat","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","88574","  1"
"2023-24","Fall","CMST","3044","Oral Comm Center Practicum","Sowder","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","83116","  1"
"2023-24","Fall","CMST","3044","Oral Comm Center Practicum","Quesenberry","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","83116","  1"
"2023-24","Fall","CHEM","3625","Physical Chemistry Laboratory","Orler","3","42.9","0","0","42.9","0","0","0","0","0","0","0","14.3","0","7","82924","  1"
"2023-24","Fall","MGT","2945","Small Unit Lrdshp for Cadets","Sheets","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","91517","  1"
"2023-24","Fall","COS","4015","Supervision in Science: Orion","Rowell","3.96","85.7","14.3","0","0","0","0","0","0","0","0","0","0","0","7","91959","  1"
"2024-25","Fall","IDS","3204","TS: Typography","Dorsa","3.91","71.4","28.6","0","0","0","0","0","0","0","0","0","0","0","7","86493","  1"
"2023-24","Fall","TA","3014","Theatre Production Lab","Holland","3.96","80","20","0","0","0","0","0","0","0","0","0","0","0","5","90045","  1"
"2024-25","Fall","DASC","4664","Translating Dairy Science","Cockrum","3.81","85.7","0","0","0","14.3","0","0","0","0","0","0","0","0","7","83650","  1"
"2023-24","Fall","BMES","4994","Undergraduate Research","Arena","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","81981","  1"
"2024-25","Fall","MUS","2515","Vocal Diction","Cowan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","90928","  1"
"2023-24","Fall","COS","3015","App Science Leadership","Rowell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","83254","  1"
"2023-24","Fall","PHYS","1155","Astronomy Laboratory","Simonetti","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","88784","  1"
"2023-24","Fall","MUS","2214","Class Applied Piano","Baldwin","3.96","87.5","12.5","0","0","0","0","0","0","0","0","0","0","0","8","88206","  1"
"2024-25","Fall","MUS","2214","Class Applied Piano","Gonzales","3.61","50","0","37.5","12.5","0","0","0","0","0","0","0","0","0","8","88226","  1"
"2024-25","Fall","MUS","2214","Class Applied Piano","Gonzales","3.66","50","12.5","25","12.5","0","0","0","0","0","0","0","0","0","8","88227","  1"
"2024-25","Fall","PSYC","4214","Cognitive Psyc Lab","Shafer","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","89459","  1"
"2024-25","Fall","DASC","1464","Dairy Cattle Handling","Knowlton","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","83638","  1"
"2024-25","Fall","DASC","1464","Dairy Cattle Handling","Knowlton","4","100","0","0","0","0","0","0","0","0","0","0","0","1","8","83639","  1"
"2024-25","Fall","DASC","1464","Dairy Cattle Handling","Knowlton","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","83640","  1"
"2023-24","Fall","FST","4534","Food Chemistry Lab","Hurley","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","85789","  1"
"2024-25","Fall","ENT","5004","Graduate Seminar","Couvillon","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","85228","  1"
"2024-25","Fall","NEUR","2974","Independent Study","Rainville","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","88386","  1"
"2023-24","Fall","MUS","2624","Individual Applied Bassoon","Bartlett","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88226","  1"
"2023-24","Fall","MUS","2514","Individual Applied Voice","Wyatt","3.89","60","40","0","0","0","0","0","0","0","0","0","0","0","5","88214","  1"
"2023-24","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","3.92","75","25","0","0","0","0","0","0","0","0","0","0","0","8","82933","  1"
"2023-24","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","3.64","62.5","12.5","0","0","25","0","0","0","0","0","0","0","0","8","82934","  1"
"2024-25","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","82939","  1"
"2023-24","Fall","MUS","3314","Instrumental Ensemble Music","Irrera","3.96","87.5","12.5","0","0","0","0","0","0","0","0","0","0","0","8","88260","  1"
"2023-24","Fall","MUS","3314","Instrumental Ensemble Music","Bukvic","3.76","62.5","25","0","0","12.5","0","0","0","0","0","0","0","0","8","88269","  1"
"2024-25","Fall","MSE","4424","Materials Laboratory II","Suchicital","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","88157","  1"
"2023-24","Fall","NSEG","5944","Nuclear Eng Graduate Seminar","Haghighat","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","88526","  1"
